start month,start day,start year,start hour,start minute,ampm,label
12,20,1939,12,03,PM,Aries
5,16,1940,3,54,AM,Taurus
5,26,1941,8,48,AM,Gemini
6,10,1942,6,36,AM,Cancer
6,30,1943,5,46,PM,Leo
7,25,1944,9,04,PM,Virgo
8,25,1945,2,06,AM,Libra
9,25,1946,6,19,AM,Scorpio
10,23,1947,10,00,PM,Sagittarius
11,15,1948,5,38,AM,Capricorn
4,12,1949,2,18,PM,Aquarius
6,27,1949,2,29,PM,Capricorn
11,30,1949,3,08,PM,Aquarius
4,15,1950,3,58,AM,Pisces
9,14,1950,10,23,PM,Aquarius
12,1,1950,2,57,PM,Pisces
4,21,1951,9,57,AM,Aries
4,28,1952,4,50,PM,Taurus
5,9,1953,11,33,AM,Gemini
5,24,1954,12,43,AM,Cancer
6,12,1955,8,07,PM,Leo
11,17,1955,1,01,AM,Virgo
1,17,1956,9,04,PM,Leo
7,7,1956,3,01,PM,Virgo
12,12,1956,9,17,PM,Libra
2,19,1957,10,37,AM,Virgo
8,6,1957,10,11,PM,Libra
1,13,1958,7,52,AM,Scorpio
3,20,1958,2,13,PM,Libra
9,7,1958,4,52,AM,Scorpio
2,10,1959,8,46,AM,Sagittarius
4,24,1959,9,10,AM,Scorpio
10,5,1959,10,40,AM,Sagittarius
3,1,1960,8,10,AM,Capricorn
6,9,1960,9,52,PM,Sagittarius
10,25,1960,11,01,PM,Capricorn
3,15,1961,3,01,AM,Aquarius
8,12,1961,4,54,AM,Capricorn
11,3,1961,9,49,PM,Aquarius
3,25,1962,5,07,PM,Pisces
4,3,1963,10,19,PM,Aries
4,12,1964,1,52,AM,Taurus
4,22,1965,9,32,AM,Gemini
9,21,1965,1,40,AM,Cancer
11,16,1965,10,08,PM,Gemini
5,5,1966,10,52,AM,Cancer
9,27,1966,9,19,AM,Leo
1,15,1967,10,50,PM,Cancer
5,23,1967,4,21,AM,Leo
10,19,1967,6,51,AM,Virgo
2,26,1968,10,33,PM,Leo
