start month,start day,start year,start hour,start minute,ampm,label
11,19,1939,3,56,PM,Pisces
1,4,1940,12,5,AM,Aries
2,17,1940,1,54,AM,Taurus
4,1,1940,6,41,PM,Gemini
5,17,1940,2,45,PM,Cancer
7,3,1940,10,32,AM,Leo
8,19,1940,3,58,PM,Virgo
10,5,1940,2,21,PM,Libra
11,20,1940,5,16,PM,Scorpio
1,4,1941,7,42,PM,Sagittarius
2,17,1941,11,32,PM,Capricorn
4,2,1941,11,46,AM,Aquarius
5,16,1941,5,5,AM,Pisces
7,2,1941,5,17,AM,Aries
1,11,1942,10,21,PM,Taurus
3,7,1942,8,4,AM,Gemini
4,26,1942,6,18,AM,Cancer
6,14,1942,3,56,AM,Leo
8,1,1942,8,27,AM,Virgo
9,17,1942,10,11,AM,Libra
11,1,1942,10,36,PM,Scorpio
12,15,1942,4,51,PM,Sagittarius
1,26,1943,7,10,PM,Capricorn
3,8,1943,12,42,PM,Aquarius
4,17,1943,10,25,AM,Pisces
5,27,1943,9,25,AM,Aries
7,7,1943,11,5,PM,Taurus
8,23,1943,11,58,PM,Gemini
3,28,1944,9,54,AM,Cancer
5,22,1944,2,16,PM,Leo
7,12,1944,2,54,AM,Virgo
8,29,1944,12,23,AM,Libra
10,13,1944,12,9,PM,Scorpio
11,25,1944,4,11,PM,Sagittarius
1,5,1945,7,31,PM,Capricorn
2,14,1945,9,58,AM,Aquarius
3,25,1945,3,43,AM,Pisces
5,2,1945,8,29,PM,Aries
6,11,1945,11,52,AM,Taurus
7,23,1945,8,59,AM,Gemini
9,7,1945,8,56,PM,Cancer
11,11,1945,9,5,PM,Leo
12,26,1945,3,4,PM,Cancer
4,22,1946,7,31,PM,Leo
6,20,1946,8,31,AM,Virgo
8,9,1946,1,17,PM,Libra
9,24,1946,4,35,PM,Scorpio
11,6,1946,6,22,PM,Sagittarius
12,17,1946,10,56,AM,Capricorn
1,25,1947,11,44,AM,Aquarius
3,4,1947,4,46,PM,Pisces
4,11,1947,11,3,PM,Aries
5,21,1947,3,40,AM,Taurus
7,1,1947,3,34,AM,Gemini
8,13,1947,9,26,PM,Cancer
10,1,1947,2,31,AM,Leo
12,1,1947,11,44,AM,Virgo
2,12,1948,10,28,AM,Leo
5,18,1948,8,54,PM,Virgo
7,17,1948,5,25,AM,Libra
9,3,1948,1,58,PM,Scorpio
10,17,1948,5,43,AM,Sagittarius
11,26,1948,9,59,PM,Capricorn
1,4,1949,5,50,PM,Aquarius
2,11,1949,6,5,PM,Pisces
3,21,1949,10,2,PM,Aries
4,30,1949,2,33,AM,Taurus
