start month,start day,start year,start hour,start minute,ampm,label
9,22,1939,6,18,AM,Aries
3,20,1940,9,40,AM,Taurus
5,8,1942,8,39,PM,Gemini
6,20,1944,8,48,AM,Cancer
8,2,1946,3,42,PM,Leo
9,19,1948,5,36,AM,Virgo
4,3,1949,3,38,AM,Leo
5,29,1949,1,59,PM,Virgo
11,20,1950,3,50,PM,Libra
3,7,1951,12,12,PM,Virgo
8,13,1951,5,44,PM,Libra
10,22,1953,3,36,PM,Scorpio
1,12,1956,6,46,PM,Sagittarius
5,14,1956,4,45,AM,Scorpio
10,10,1956,3,11,PM,Sagittarius
1,5,1959,1,33,PM,Capricorn
1,3,1962,7,1,PM,Aquarius
3,24,1964,4,18,AM,Pisces
9,16,1964,10,4,PM,Aquarius
12,16,1964,5,39,AM,Pisces
3,3,1967,9,32,PM,Aries
4,29,1969,11,23,PM,Taurus
6,18,1971,5,9,PM,Gemini
1,10,1972,3,43,AM,Taurus
2,21,1972,2,52,PM,Gemini
8,1,1973,11,20,PM,Cancer
1,7,1974,8,26,PM,Gemini
4,18,1974,10,34,PM,Cancer
9,17,1975,5,57,AM,Leo
1,14,1976,1,16,PM,Cancer
6,5,1976,6,9,AM,Leo
11,17,1977,2,43,AM,Virgo
1,5,1978,12,44,AM,Leo
7,26,1978,1,2,PM,Virgo
9,21,1980,11,48,AM,Libra
11,29,1982,10,29,AM,Scorpio
5,6,1983,8,29,PM,Libra
8,24,1983,12,54,PM,Scorpio
11,17,1985,2,10,AM,Sagittarius
2,13,1988,11,51,PM,Capricorn
6,10,1988,6,22,AM,Sagittarius
11,12,1988,9,26,AM,Capricorn
2,6,1991,6,51,PM,Aquarius
5,21,1993,5,58,AM,Pisces
6,30,1993,9,29,AM,Aquarius
1,28,1994,11,43,PM,Pisces
4,7,1996,9,49,AM,Aries
6,9,1998,7,7,AM,Taurus
10,25,1998,6,41,PM,Aries
3,1,1999,1,26,AM,Taurus
8,10,2000,3,26,AM,Gemini
10,16,2000,1,44,AM,Taurus
4,20,2001,10,59,PM,Gemini
6,4,2003,2,28,AM,Cancer
7,16,2005,1,31,PM,Leo
9,2,2007,2,49,PM,Virgo
10,29,2009,6,9,PM,Libra
4,7,2010,7,51,PM,Virgo
7,21,2010,4,10,PM,Libra
4,7,2010,7,51,PM,Virgo
7,21,2010,4,10,PM,Libra
10,5,2012,9,34,PM,Scorpio
12,23,2014,4,34,PM,Sagittarius
6,15,2015,1,36,AM,Scorpio
9,18,2015,3,49,AM,Sagittarius
12,20,2017,4,49,AM,Capricorn
3,22,2020,4,58,AM,Aquarius
7,2,2020,12,37,AM,Capricorn
12,17,2020,5,4,AM,Aquarius
3,7,2023,1,34,PM,Pisces
5,25,2025,4,35,AM,Aries
9,1,2025,9,6,AM,Pisces
2,14,2026,12,11,AM,Aries
4,13,2028,4,39,AM,Taurus
6,1,2030,3,34,AM,Gemini
7,14,2032,3,16,AM,Cancer
8,27,2034,3,46,AM,Leo
2,15,2035,7,34,PM,Cancer
5,11,2035,9,44,PM,Leo
10,16,2036,8,34,AM,Virgo
2,11,2037,6,46,AM,Leo
7,7,2037,3,30,AM,Virgo
9,5,2039,4,14,PM,Libra
11,11,2041,10,57,AM,Scorpio
6,21,2042,11,26,AM,Libra
7,14,2042,2,58,PM,Scorpio
2,21,2044,2,20,PM,Sagittarius
3,25,2044,11,2,AM,Scorpio
10,31,2044,1,52,PM,Sagittarius
1,24,2047,3,40,PM,Capricorn
7,11,2047,3,58,AM,Sagittarius
10,22,2047,12,9,PM,Capricorn
1,21,2050,1,15,PM,Aquarius
4,16,2052,2,53,PM,Pisces
8,9,2052,4,34,AM,Aquarius
1,11,2053,2,51,AM,Pisces
3,22,2055,7,29,PM,Aries
5,20,2057,6,59,AM,Taurus
11,29,2057,6,49,PM,Aries
1,31,2058,9,15,AM,Taurus
7,12,2059,8,57,PM,Gemini
11,21,2059,10,19,AM,Taurus
