start month,start day,start year,start hour,start minute,ampm,label
12,22,1939,1,06,PM,Capricorn
1,20,1940,11,44,PM,Aquarius
2,19,1940,2,04,PM,Pisces
3,20,1940,1,24,PM,Aries
4,20,1940,12,51,AM,Taurus

5,21,1940,1,23,AM,Gemini
6,21,1940,9,36,AM,Cancer
7,22,1940,8,34,PM,Leo
8,23,1940,3,29,AM,Virgo
9,23,1940,12,46,AM,Libra

10,23,1940,8,39,AM,Scorpio
11,22,1940,5,49,AM,Sagittarius
12,21,1940,6,55,PM,Capricorn
1,20,1941,5,34,AM,Aquarius
2,18,1941,7,56,PM,Pisces
3,20,1941,7,20,PM,Aries
4,20,1941,6,50,AM,Taurus

5,21,1941,7,23,AM,Gemini
6,21,1941,3,33,PM,Cancer
7,23,1941,2,26,AM,Leo
8,23,1941,9,17,AM,Virgo
9,23,1941,6,33,AM,Libra

10,23,1941,2,27,PM,Scorpio
11,22,1941,11,38,AM,Sagittarius
12,22,1941,12,44,AM,Capricorn
1,20,1942,11,24,AM,Aquarius

2,19,1942,2,47,AM,Pisces
3,21,1942,2,11,AM,Aries
4,20,1942,1,39,PM,Taurus
5,21,1942,1,09,PM,Gemini
6,21,1942,9,16,PM,Cancer
7,23,1942,8,07,AM,Leo
8,23,1942,2,58,PM,Virgo
9,23,1942,12,16,PM,Libra
10,23,1942,9,15,PM,Scorpio
11,22,1942,6,30,PM,Sagittarius
12,22,1942,7,40,AM,Capricorn
1,20,1943,6,19,PM,Aquarius
2,19,1943,8,40,AM,Pisces
3,21,1943,8,03,AM,Aries
4,20,1943,7,32,PM,Taurus
5,21,1943,7,03,PM,Gemini
6,22,1943,3,12,AM,Cancer
7,23,1943,2,05,PM,Leo
8,23,1943,8,55,PM,Virgo
9,23,1943,6,12,PM,Libra
10,24,1943,3,08,AM,Scorpio
11,23,1943,12,22,AM,Sagittarius
12,22,1943,1,29,PM,Capricorn
1,21,1944,12,07,AM,Aquarius
2,19,1944,2,27,PM,Pisces
3,20,1944,1,49,PM,Aries
4,20,1944,1,18,AM,Taurus
5,21,1944,12,51,AM,Gemini
6,21,1944,9,02,AM,Cancer
7,22,1944,7,56,PM,Leo
8,23,1944,2,46,AM,Virgo
9,23,1944,12,02,AM,Libra
10,23,1944,8,56,AM,Scorpio
11,22,1944,6,08,AM,Sagittarius
12,21,1944,7,15,PM,Capricorn
1,20,1945,5,54,AM,Aquarius
2,18,1945,8,15,PM,Pisces
3,20,1945,7,37,PM,Aries
4,20,1945,7,07,AM,Taurus
5,21,1945,6,40,AM,Gemini
6,21,1945,2,52,PM,Cancer
7,23,1945,1,45,AM,Leo
8,23,1945,8,35,AM,Virgo
9,23,1945,5,50,AM,Libra

10,23,1945,1,44,PM,Scorpio
11,22,1945,10,55,AM,Sagittarius
12,22,1945,12,04,AM,Capricorn
1,20,1946,10,45,AM,Aquarius
2,19,1946,1,09,AM,Pisces
3,21,1946,12,33,AM,Aries
4,20,1946,12,02,PM,Taurus

5,21,1946,12,34,PM,Gemini
6,21,1946,8,44,PM,Cancer
7,23,1946,7,37,AM,Leo
8,23,1946,2,26,PM,Virgo
9,23,1946,11,41,AM,Libra

10,23,1946,7,35,PM,Scorpio
11,22,1946,4,46,PM,Sagittarius
12,22,1946,5,53,AM,Capricorn
1,20,1947,4,32,PM,Aquarius
2,19,1947,6,52,AM,Pisces
3,21,1947,6,13,AM,Aries
4,20,1947,5,39,PM,Taurus

5,21,1947,6,09,PM,Gemini
6,22,1947,2,19,AM,Cancer
7,23,1947,1,14,PM,Leo
8,23,1947,8,09,PM,Virgo
9,23,1947,5,29,PM,Libra

10,24,1947,1,26,AM,Scorpio
11,22,1947,10,38,PM,Sagittarius
12,22,1947,11,43,AM,Capricorn
1,20,1948,10,18,PM,Aquarius
2,19,1948,12,37,PM,Pisces
3,20,1948,11,57,AM,Aries
4,19,1948,11,25,PM,Taurus

5,20,1948,11,58,PM,Gemini
6,21,1948,8,11,AM,Cancer
7,22,1948,7,08,PM,Leo
8,23,1948,2,03,AM,Virgo
9,22,1948,11,22,PM,Libra

10,23,1948,7,18,AM,Scorpio
11,22,1948,4,29,AM,Sagittarius
12,21,1948,5,33,PM,Capricorn
1,20,1949,4,09,AM,Aquarius
2,18,1949,6,27,PM,Pisces
3,20,1949,5,48,PM,Aries
4,20,1949,5,17,AM,Taurus

5,21,1949,5,51,AM,Gemini
6,21,1949,2,03,PM,Cancer
7,23,1949,12,57,AM,Leo
8,23,1949,7,48,AM,Virgo
9,23,1949,5,06,AM,Libra

10,23,1949,1,03,PM,Scorpio
11,22,1949,10,16,AM,Sagittarius
12,21,1949,11,23,PM,Capricorn
1,20,1950,10,00,AM,Aquarius
2,19,1950,12,18,AM,Pisces
3,20,1950,11,35,PM,Aries
4,20,1950,10,59,AM,Taurus

5,21,1950,11,27,AM,Gemini
6,21,1950,7,36,PM,Cancer
7,23,1950,6,30,AM,Leo
8,23,1950,1,23,PM,Virgo
9,23,1950,10,44,AM,Libra

10,23,1950,6,45,PM,Scorpio
11,22,1950,4,03,PM,Sagittarius
12,22,1950,5,13,AM,Capricorn
1,20,1951,3,52,PM,Aquarius
2,19,1951,6,10,AM,Pisces
3,21,1951,5,26,AM,Aries
4,20,1951,4,48,PM,Taurus

5,21,1951,5,15,PM,Gemini
6,22,1951,1,25,AM,Cancer
7,23,1951,12,21,PM,Leo
8,23,1951,7,16,PM,Virgo
9,23,1951,4,37,PM,Libra

10,24,1951,12,36,AM,Scorpio
11,22,1951,9,51,PM,Sagittarius
12,22,1951,11,00,AM,Capricorn
1,20,1952,9,38,PM,Aquarius
2,19,1952,11,57,AM,Pisces
3,20,1952,11,14,AM,Aries
4,19,1952,10,37,PM,Taurus

5,20,1952,11,04,PM,Gemini
6,21,1952,7,13,AM,Cancer
7,22,1952,6,07,PM,Leo
8,23,1952,1,03,AM,Virgo
9,22,1952,10,24,PM,Libra

10,23,1952,6,22,AM,Scorpio
11,22,1952,3,36,AM,Sagittarius
12,21,1952,4,43,PM,Capricorn
1,20,1953,3,21,AM,Aquarius
2,18,1953,5,41,PM,Pisces
3,20,1953,5,01,PM,Aries
4,20,1953,4,25,AM,Taurus

