start month,start day,start year,start hour,start minute,ampm,label
12,25,1939,7,25,AM,Aquarius
1,18,1940,2,0,PM,Pisces
2,12,1940,5,51,AM,Aries
3,8,1940,4,25,PM,Taurus
4,4,1940,6,10,PM,Gemini
5,6,1940,6,47,PM,Cancer
7,5,1940,4,17,PM,Gemini
8,1,1940,2,20,AM,Cancer
9,8,1940,4,59,PM,Leo
10,6,1940,9,10,PM,Virgo
11,1,1940,5,24,PM,Libra
11,26,1940,12,32,PM,Scorpio
12,20,1940,7,36,PM,Sagittarius
1,13,1941,9,29,PM,Capricorn
2,6,1941,9,49,PM,Aquarius
3,2,1941,10,33,PM,Pisces
3,27,1941,12,58,AM,Aries
4,20,1941,5,53,AM,Taurus
5,14,1941,1,36,PM,Gemini
6,7,1941,11,53,PM,Cancer
7,2,1941,12,33,PM,Leo
7,27,1941,4,12,AM,Virgo
8,21,1941,12,29,AM,Libra
9,15,1941,4,1,AM,Scorpio
10,10,1941,7,21,PM,Sagittarius
11,6,1941,10,17,AM,Capricorn
12,5,1941,11,4,PM,Aquarius
4,6,1942,1,14,PM,Pisces
5,6,1942,2,26,AM,Aries
6,2,1942,12,26,AM,Taurus
6,27,1942,10,18,PM,Gemini
7,23,1942,6,10,AM,Cancer
8,17,1942,3,4,AM,Leo
9,10,1942,2,38,PM,Virgo
10,4,1942,6,58,PM,Libra
10,28,1942,6,40,PM,Scorpio
11,21,1942,4,7,PM,Sagittarius
12,15,1942,12,53,PM,Capricorn
1,8,1943,10,3,AM,Aquarius
2,1,1943,9,2,AM,Pisces
2,25,1943,12,4,PM,Aries
3,21,1943,10,24,PM,Taurus
4,15,1943,8,12,PM,Gemini
5,11,1943,11,56,AM,Cancer
6,7,1943,12,9,PM,Leo
7,7,1943,11,56,PM,Virgo
11,9,1943,6,25,PM,Libra
12,8,1943,7,45,AM,Scorpio
1,3,1944,4,43,AM,Sagittarius
1,28,1944,3,11,AM,Capricorn
2,21,1944,4,40,PM,Aquarius
