start month,start day,start year,start hour,start minute,ampm,label
9,22,1939,1,18,AM,Aries
3,20,1940,4,40,AM,Taurus
5,8,1942,3,39,PM,Gemini
6,20,1944,3,48,AM,Cancer
8,2,1946,10,42,AM,Leo
9,19,1948,12,36,AM,Virgo
4,2,1949,10,38,PM,Leo
5,29,1949,8,59,AM,Virgo
11,20,1950,10,50,AM,Libra
3,7,1951,7,12,AM,Virgo
8,13,1951,12,44,PM,Libra
10,22,1953,10,36,AM,Scorpio
1,12,1956,1,46,PM,Sagittarius
5,13,1956,11,45,PM,Scorpio
10,10,1956,10,11,AM,Sagittarius
1,5,1959,8,33,AM,Capricorn
1,3,1962,2,01,PM,Aquarius
3,23,1964,11,18,PM,Pisces
9,16,1964,5,04,PM,Aquarius
12,16,1964,12,39,AM,Pisces
3,3,1967,4,32,PM,Aries
4,29,1969,6,23,PM,Taurus
6,18,1971,12,09,PM,Gemini
1,9,1972,10,43,PM,Taurus
2,21,1972,9,52,AM,Gemini
8,1,1973,6,20,PM,Cancer
1,7,1974,3,26,PM,Gemini
4,18,1974,5,34,PM,Cancer
9,17,1975,12,57,AM,Leo
1,14,1976,8,16,AM,Cancer
6,5,1976,1,09,AM,Leo
11,16,1977,9,43,PM,Virgo
1,4,1978,7,44,PM,Leo
7,26,1978,8,02,AM,Virgo
9,21,1980,6,48,AM,Libra
11,29,1982,5,29,AM,Scorpio
5,6,1983,3,29,PM,Libra
8,24,1983,7,54,AM,Scorpio
11,16,1985,9,10,PM,Sagittarius
2,13,1988,6,51,PM,Capricorn
6,10,1988,1,22,AM,Sagittarius
11,12,1988,4,26,AM,Capricorn
2,6,1991,1,51,PM,Aquarius
5,21,1993,12,58,AM,Pisces
6,30,1993,4,29,AM,Aquarius
1,28,1994,6,43,PM,Pisces
4,7,1996,4,49,AM,Aries
6,9,1998,2,07,AM,Taurus
10,25,1998,1,41,PM,Aries
2,28,1999,8,26,PM,Taurus
8,9,2000,10,26,PM,Gemini
10,15,2000,8,44,PM,Taurus
4,20,2001,5,59,PM,Gemini
6,3,2003,9,28,PM,Cancer
7,16,2005,8,31,AM,Leo
9,2,2007,9,49,AM,Virgo
10,29,2009,1,09,PM,Libra
4,7,2010,2,51,PM,Virgo
7,21,2010,11,10,AM,Libra
4,7,2010,2,51,PM,Virgo
7,21,2010,11,10,AM,Libra
10,5,2012,4,34,PM,Scorpio
12,23,2014,11,34,AM,Sagittarius
6,14,2015,8,36,PM,Scorpio
9,17,2015,10,49,PM,Sagittarius
12,19,2017,11,49,PM,Capricorn
3,21,2020,11,58,PM,Aquarius
7,1,2020,7,37,PM,Capricorn
12,17,2020,12,04,AM,Aquarius
3,7,2023,8,34,AM,Pisces
5,24,2025,11,35,PM,Aries
9,1,2025,4,06,AM,Pisces
2,13,2026,7,11,PM,Aries
4,12,2028,11,39,PM,Taurus
5,31,2030,10,34,PM,Gemini
7,13,2032,10,16,PM,Cancer
8,26,2034,10,46,PM,Leo
2,15,2035,2,34,PM,Cancer
5,11,2035,4,44,PM,Leo
10,16,2036,3,34,AM,Virgo
2,11,2037,1,46,AM,Leo
7,6,2037,10,30,PM,Virgo
9,5,2039,11,14,AM,Libra
11,11,2041,5,57,AM,Scorpio
6,21,2042,6,26,AM,Libra
7,14,2042,9,58,AM,Scorpio
2,21,2044,9,20,AM,Sagittarius
3,25,2044,6,02,AM,Scorpio
10,31,2044,8,52,AM,Sagittarius
1,24,2047,10,40,AM,Capricorn
7,10,2047,10,58,PM,Sagittarius
10,22,2047,7,09,AM,Capricorn
1,21,2050,8,15,AM,Aquarius
4,16,2052,9,53,AM,Pisces
8,8,2052,11,34,PM,Aquarius
1,10,2053,9,51,PM,Pisces
3,22,2055,2,29,PM,Aries
5,20,2057,1,59,AM,Taurus
11,29,2057,1,49,PM,Aries
1,31,2058,4,15,AM,Taurus
7,12,2059,3,57,PM,Gemini
11,21,2059,5,19,AM,Taurus
